expr	script_size	op_count	sat_witness_elements	exec_stack	mixed_timelocks	non_malleable	requires_sig	sat_size
after(1)	2	1	1	1	false	true	false	0
after(2147483647)	6	1	1	1	false	true	false	0
after(499999999)	6	1	1	1	false	true	false	0
after(500000000)	6	1	1	1	false	true	false	0
and_b(after(1),a:and_b(after(1),a:andor(sha256(926a54995ca48600920a19bf7bc502ca5f2f7d07e6f804c4f00ebf0325084dbc),after(1),after(1))))	56	17	2	4	false	false	false	33
and_b(after(1),a:and_b(after(1),ac:pk_h(A)))	35	12	3	4	false	true	true	107
and_b(after(1),a:and_b(after(1),ac:pk_k(A)))	45	9	2	3	false	true	true	73
and_b(after(1),a:and_b(after(1),a:multi(2,A,B,C)))	115	12	4	5	false	true	true	147
and_b(after(1),a:and_b(after(500000001),ac:pk_h(A)))	39	12	3	4	true	true	true	107
and_b(after(1),a:and_b(after(500000001),ac:pk_k(A)))	49	9	2	3	true	true	true	73
and_b(after(1),a:and_b(after(500000001),aj:multi(2,A,B,C)))	123	16	4	5	true	true	true	147
and_b(after(1),a:and_b(after(500000001),a:multi(2,A,B,C)))	119	12	4	5	true	true	true	147
and_b(after(1),a:and_b(after(500000001),sc:pk_k(A)))	48	8	2	3	true	true	true	73
and_b(after(1),a:and_b(andor(sha256(926a54995ca48600920a19bf7bc502ca5f2f7d07e6f804c4f00ebf0325084dbc),after(1),after(1)),a:after(1)))	56	17	2	3	false	false	false	33
and_b(after(1),a:and_b(c:pk_h(A),a:after(1)))	35	12	3	3	false	true	true	107
and_b(after(1),a:and_b(c:pk_h(A),a:after(500000001)))	39	12	3	3	true	true	true	107
and_b(after(1),a:and_b(c:pk_h(A),an:after(500000001)))	40	13	3	3	true	true	true	107
and_b(after(1),a:and_b(c:pk_h(A),a:or_d(sha256(c7bcb868ab4db55ca45f8eefe5b1677d9fc2c4111e295baaee1b34ed352c719b),sha256(c7bcb868ab4db55ca45f8eefe5b1677d9fc2c4111e295baaee1b34ed352c719b))))	114	22	5	4	false	false	true	173
and_b(after(1),a:and_b(c:pk_k(A),a:after(500000001)))	49	9	2	3	true	true	true	73
and_b(after(1),a:and_b(j:multi(2,A,B,C),a:after(500000001)))	123	16	4	4	true	true	true	147
and_b(after(1),a:and_b(multi(2,A,B,C),a:after(1)))	115	12	4	4	false	true	true	147
and_b(after(1),a:and_b(multi(2,A,B,C),a:after(500000001)))	119	12	4	4	true	true	true	147
and_b(after(1),a:and_b(multi(2,A,B,C),a:andor(sha256(c7bcb868ab4db55ca45f8eefe5b1677d9fc2c4111e295baaee1b34ed352c719b),after(1),after(1))))	159	20	5	4	false	false	true	180
and_b(after(1),a:and_b(multi(2,A,B,C),a:multi(2,D,E,F)))	218	15	7	5	false	true	true	294
and_b(after(1),a:and_b(multi(2,A,B,C),an:after(500000001)))	120	13	4	4	true	true	true	147
and_b(after(1),a:and_b(multi(2,A,B,C),a:or_d(sha256(c7bcb868ab4db55ca45f8eefe5b1677d9fc2c4111e295baaee1b34ed352c719b),after(1))))	157	19	5	4	false	false	true	180
and_b(after(1),a:and_b(multi(2,A,B,C),a:or_i(after(500000001),0)))	123	15	5	4	true	true	true	149
and_b(after(1),a:and_b(multi(2,A,B,C),a:sha256(926a54995ca48600920a19bf7bc502ca5f2f7d07e6f804c4f00ebf0325084dbc)))	152	15	5	4	false	true	true	180
and_b(after(1),a:and_b(multi(2,A,B,C),s:or_d(sha256(c7bcb868ab4db55ca45f8eefe5b1677d9fc2c4111e295baaee1b34ed352c719b),after(1))))	156	18	5	4	false	false	true	180
and_b(after(1),a:and_b(multi(2,A,B,C),s:or_i(after(500000001),0)))	122	14	5	4	true	true	true	149
and_b(after(1),a:and_b(n:after(500000001),ac:pk_k(A)))	50	10	2	3	true	true	true	73
and_b(after(1),a:and_b(n:after(500000001),a:multi(2,A,B,C)))	120	13	4	5	true	true	true	147
and_b(after(1),a:and_b(sha256(926a54995ca48600920a19bf7bc502ca5f2f7d07e6f804c4f00ebf0325084dbc),a:multi(2,A,B,C)))	152	15	5	5	false	true	true	180
and_b(after(1),a:and_b(sha256(926a54995ca48600920a19bf7bc502ca5f2f7d07e6f804c4f00ebf0325084dbc),sc:pk_k(A)))	81	11	3	3	false	true	true	106
and_b(after(1),a:andor(c:pk_h(A),after(500000001),0))	40	12	3	3	true	true	true	107
and_b(after(1),a:andor(c:pk_h(A),after(500000001),c:pk_h(B)))	64	16	5	3	true	true	true	142
and_b(after(1),a:andor(c:pk_h(A),after(500000001),c:pk_k(B)))	74	13	4	3	true	true	true	108
and_b(after(1),a:andor(c:pk_h(A),after(500000001),multi(2,B,C,D)))	144	16	6	4	true	true	true	182
and_b(after(1),a:andor(c:pk_k(A),after(500000001),c:pk_h(B)))	74	13	4	3	true	true	true	108
and_b(after(1),a:andor(c:pk_k(A),after(500000001),jc:pk_k(B)))	88	14	3	2	true	true	true	74
and_b(after(1),a:andor(c:pk_k(A),after(500000001),multi(2,B,C,D)))	154	13	5	4	true	true	true	148
and_b(after(1),a:andor(jc:pk_h(A),after(1),c:pk_k(B)))	74	17	3	3	false	false	true	107
and_b(after(1),a:andor(j:multi(2,A,B,C),multi(2,D,E,F),c:pk_h(G)))	247	23	7	4	false	false	true	294
and_b(after(1),a:andor(multi(2,A,B,C),after(1),0))	116	12	4	4	false	true	true	147
and_b(after(1),a:andor(multi(2,A,B,C),after(1),multi(2,D,E,F)))	220	16	7	4	false	true	true	150
and_b(after(1),a:andor(multi(2,A,B,C),after(500000001),0))	120	12	4	4	true	true	true	147
and_b(after(1),a:andor(multi(2,A,B,C),after(500000001),c:pk_h(D)))	144	16	6	4	true	true	true	147
and_b(after(1),a:andor(multi(2,A,B,C),after(500000001),j:multi(2,D,E,F)))	228	20	7	4	true	true	true	150
and_b(after(1),a:andor(multi(2,A,B,C),after(500000001),multi(2,D,E,F)))	224	16	7	4	true	true	true	150
and_b(after(1),a:andor(multi(2,A,B,C),multi(2,D,E,F),multi(2,G,I,J)))	323	16	7	4	false	true	true	294
and_b(after(1),a:andor(multi(2,A,B,C),n:after(500000001),multi(2,D,E,F)))	225	17	7	4	true	true	true	150
and_b(after(1),a:andor(sha256(926a54995ca48600920a19bf7bc502ca5f2f7d07e6f804c4f00ebf0325084dbc),after(1),after(1)))	51	13	2	3	false	false	false	33
and_b(after(1),a:andor(sha256(926a54995ca48600920a19bf7bc502ca5f2f7d07e6f804c4f00ebf0325084dbc),after(1),and_b(after(1),a:after(1))))	56	17	2	3	false	false	false	33
and_b(after(1),a:andor(sha256(c7bcb868ab4db55ca45f8eefe5b1677d9fc2c4111e295baaee1b34ed352c719b),c:pk_h(A),multi(2,B,C,D)))	177	19	5	4	false	false	true	180
and_b(after(1),a:andor(sha256(c7bcb868ab4db55ca45f8eefe5b1677d9fc2c4111e295baaee1b34ed352c719b),multi(2,A,B,C),0))	153	15	5	4	false	false	true	180
and_b(after(1),a:andor(sha256(c7bcb868ab4db55ca45f8eefe5b1677d9fc2c4111e295baaee1b34ed352c719b),multi(2,A,B,C),c:pk_h(D)))	177	19	5	4	false	false	true	180
and_b(after(1),a:andor(sha256(c7bcb868ab4db55ca45f8eefe5b1677d9fc2c4111e295baaee1b34ed352c719b),multi(2,A,B,C),multi(2,D,E,F)))	257	16	5	4	false	false	true	180
