expr	script_size	op_count	sat_witness_elements	exec_stack	mixed_timelocks	non_malleable	requires_sig	sat_size
after(1)	2	1	1	1	false	true	false	0
after(2147483647)	6	1	1	1	false	true	false	0
after(499999999)	6	1	1	1	false	true	false	0
after(500000000)	6	1	1	1	false	true	false	0
and_b(after(1),a:and_b(after(1),a:andor(sha256(926a54995ca48600920a19bf7bc502ca5f2f7d07e6f804c4f00ebf0325084dbc),after(1),after(1))))	56	17	2	4	false	false	false	33
and_b(after(1),a:and_b(after(1),ac:pk_h(A)))	35	12	3	4	false	true	true	99
and_b(after(1),a:and_b(after(1),ac:pk_k(A)))	44	9	2	3	false	true	true	66
and_b(after(1),a:and_b(after(1),a:multi_a(2,A,B,C)))	114	8	4	4	false	true	true	133
and_b(after(1),a:and_b(after(500000001),ac:pk_h(A)))	39	12	3	4	true	true	true	99
and_b(after(1),a:and_b(after(500000001),ac:pk_k(A)))	48	9	2	3	true	true	true	66
and_b(after(1),a:and_b(after(500000001),aj:multi_a(2,A,B,C)))	PARSE_ERR
and_b(after(1),a:and_b(after(500000001),a:multi_a(2,A,B,C)))	118	8	4	4	true	true	true	133
and_b(after(1),a:and_b(after(500000001),sc:pk_k(A)))	47	8	2	3	true	true	true	66
and_b(after(1),a:and_b(andor(sha256(926a54995ca48600920a19bf7bc502ca5f2f7d07e6f804c4f00ebf0325084dbc),after(1),after(1)),a:after(1)))	56	17	2	3	false	false	false	33
and_b(after(1),a:and_b(c:pk_h(A),a:after(1)))	35	12	3	3	false	true	true	99
and_b(after(1),a:and_b(c:pk_h(A),a:after(500000001)))	39	12	3	3	true	true	true	99
and_b(after(1),a:and_b(c:pk_h(A),an:after(500000001)))	40	13	3	3	true	true	true	99
and_b(after(1),a:and_b(c:pk_h(A),a:or_d(sha256(c7bcb868ab4db55ca45f8eefe5b1677d9fc2c4111e295baaee1b34ed352c719b),sha256(c7bcb868ab4db55ca45f8eefe5b1677d9fc2c4111e295baaee1b34ed352c719b))))	114	22	5	4	false	false	false	165
and_b(after(1),a:and_b(c:pk_k(A),a:after(500000001)))	48	9	2	3	true	true	true	66
and_b(after(1),a:and_b(j:multi_a(2,A,B,C),a:after(500000001)))	PARSE_ERR
and_b(after(1),a:and_b(multi_a(2,A,B,C),a:after(1)))	114	8	4	3	false	true	true	133
and_b(after(1),a:and_b(multi_a(2,A,B,C),a:after(500000001)))	118	8	4	3	true	true	true	133
and_b(after(1),a:and_b(multi_a(2,A,B,C),a:andor(sha256(c7bcb868ab4db55ca45f8eefe5b1677d9fc2c4111e295baaee1b34ed352c719b),after(1),after(1))))	158	16	5	4	false	false	false	166
and_b(after(1),a:and_b(multi_a(2,A,B,C),a:multi_a(2,D,E,F)))	216	7	7	4	false	true	true	266
and_b(after(1),a:and_b(multi_a(2,A,B,C),an:after(500000001)))	119	9	4	3	true	true	true	133
and_b(after(1),a:and_b(multi_a(2,A,B,C),a:or_d(sha256(c7bcb868ab4db55ca45f8eefe5b1677d9fc2c4111e295baaee1b34ed352c719b),after(1))))	156	15	5	4	false	false	false	166
and_b(after(1),a:and_b(multi_a(2,A,B,C),a:or_i(after(500000001),0)))	122	11	5	3	true	true	true	135
and_b(after(1),a:and_b(multi_a(2,A,B,C),a:sha256(926a54995ca48600920a19bf7bc502ca5f2f7d07e6f804c4f00ebf0325084dbc)))	151	11	5	4	false	true	true	166
and_b(after(1),a:and_b(multi_a(2,A,B,C),s:or_d(sha256(c7bcb868ab4db55ca45f8eefe5b1677d9fc2c4111e295baaee1b34ed352c719b),after(1))))	155	14	5	4	false	false	false	166
and_b(after(1),a:and_b(multi_a(2,A,B,C),s:or_i(after(500000001),0)))	121	10	5	3	true	true	true	135
and_b(after(1),a:and_b(n:after(500000001),ac:pk_k(A)))	49	10	2	3	true	true	true	66
and_b(after(1),a:and_b(n:after(500000001),a:multi_a(2,A,B,C)))	119	9	4	4	true	true	true	133
and_b(after(1),a:and_b(sha256(926a54995ca48600920a19bf7bc502ca5f2f7d07e6f804c4f00ebf0325084dbc),a:multi_a(2,A,B,C)))	151	11	5	4	false	true	true	166
and_b(after(1),a:and_b(sha256(926a54995ca48600920a19bf7bc502ca5f2f7d07e6f804c4f00ebf0325084dbc),sc:pk_k(A)))	80	11	3	3	false	true	true	99
and_b(after(1),a:andor(c:pk_h(A),after(500000001),0))	40	12	3	3	true	true	true	99
and_b(after(1),a:andor(c:pk_h(A),after(500000001),c:pk_h(B)))	64	16	5	3	true	true	true	133
and_b(after(1),a:andor(c:pk_h(A),after(500000001),c:pk_k(B)))	73	13	4	3	true	true	true	100
and_b(after(1),a:andor(c:pk_h(A),after(500000001),multi_a(2,B,C,D)))	143	12	6	3	true	true	true	167
and_b(after(1),a:andor(c:pk_k(A),after(500000001),c:pk_h(B)))	73	13	4	3	true	true	true	100
and_b(after(1),a:andor(c:pk_k(A),after(500000001),jc:pk_k(B)))	86	14	3	2	true	true	true	67
and_b(after(1),a:andor(c:pk_k(A),after(500000001),multi_a(2,B,C,D)))	152	9	5	3	true	true	true	134
and_b(after(1),a:andor(jc:pk_h(A),after(1),c:pk_k(B)))	73	17	3	3	false	false	false	99
and_b(after(1),a:andor(j:multi_a(2,A,B,C),multi_a(2,D,E,F),c:pk_h(G)))	PARSE_ERR
and_b(after(1),a:andor(multi_a(2,A,B,C),after(1),0))	115	8	4	3	false	true	true	133
and_b(after(1),a:andor(multi_a(2,A,B,C),after(1),multi_a(2,D,E,F)))	218	8	7	3	false	true	true	136
and_b(after(1),a:andor(multi_a(2,A,B,C),after(500000001),0))	119	8	4	3	true	true	true	133
and_b(after(1),a:andor(multi_a(2,A,B,C),after(500000001),c:pk_h(D)))	143	12	6	3	true	true	true	133
and_b(after(1),a:andor(multi_a(2,A,B,C),after(500000001),j:multi_a(2,D,E,F)))	PARSE_ERR
and_b(after(1),a:andor(multi_a(2,A,B,C),after(500000001),multi_a(2,D,E,F)))	222	8	7	3	true	true	true	136
and_b(after(1),a:andor(multi_a(2,A,B,C),multi_a(2,D,E,F),multi_a(2,G,I,J)))	320	7	7	3	false	true	true	266
and_b(after(1),a:andor(multi_a(2,A,B,C),n:after(500000001),multi_a(2,D,E,F)))	223	9	7	3	true	true	true	136
and_b(after(1),a:andor(sha256(926a54995ca48600920a19bf7bc502ca5f2f7d07e6f804c4f00ebf0325084dbc),after(1),after(1)))	51	13	2	3	false	false	false	33
and_b(after(1),a:andor(sha256(926a54995ca48600920a19bf7bc502ca5f2f7d07e6f804c4f00ebf0325084dbc),after(1),and_b(after(1),a:after(1))))	56	17	2	3	false	false	false	33
and_b(after(1),a:andor(sha256(c7bcb868ab4db55ca45f8eefe5b1677d9fc2c4111e295baaee1b34ed352c719b),c:pk_h(A),multi_a(2,B,C,D)))	176	15	5	3	false	false	false	166
and_b(after(1),a:andor(sha256(c7bcb868ab4db55ca45f8eefe5b1677d9fc2c4111e295baaee1b34ed352c719b),multi_a(2,A,B,C),0))	152	11	5	3	false	false	false	166
and_b(after(1),a:andor(sha256(c7bcb868ab4db55ca45f8eefe5b1677d9fc2c4111e295baaee1b34ed352c719b),multi_a(2,A,B,C),c:pk_h(D)))	176	15	5	3	false	false	false	166
