after(1)	51b1
after(2147483647)	04ffffff7fb1
after(499999999)	04ff64cd1db1
after(500000000)	040065cd1db1
and_b(after(1),a:and_b(after(1),a:andor(sha256(926a54995ca48600920a19bf7bc502ca5f2f7d07e6f804c4f00ebf0325084dbc),after(1),after(1))))	51b16b51b16b82012088a820926a54995ca48600920a19bf7bc502ca5f2f7d07e6f804c4f00ebf0325084dbc876451b16751b1686c9a6c9a
and_b(after(1),a:and_b(after(1),ac:pk_h(A)))	51b16b51b16b76a914f678d9b79045452c8c64e9309d0f0046056e26c588ac6c9a6c9a
and_b(after(1),a:and_b(after(1),ac:pk_k(A)))	51b16b51b16b2079be667ef9dcbbac55a06295ce870b07029bfcdb2dce28d959f2815b16f81798ac6c9a6c9a
and_b(after(1),a:and_b(after(1),a:multi_a(2,A,B,C)))	51b16b51b16b2079be667ef9dcbbac55a06295ce870b07029bfcdb2dce28d959f2815b16f81798ac20c6047f9441ed7d6d3045406e95c07cd85c778e4b8cef3ca7abac09b95c709ee5ba20f9308a019258c31049344f85f89d5229b531c845836f99b08601f113bce036f9ba529c6c9a6c9a
and_b(after(1),a:and_b(after(500000001),ac:pk_h(A)))	51b16b040165cd1db16b76a914f678d9b79045452c8c64e9309d0f0046056e26c588ac6c9a6c9a
and_b(after(1),a:and_b(after(500000001),ac:pk_k(A)))	51b16b040165cd1db16b2079be667ef9dcbbac55a06295ce870b07029bfcdb2dce28d959f2815b16f81798ac6c9a6c9a
and_b(after(1),a:and_b(after(500000001),aj:multi_a(2,A,B,C)))	ERR
and_b(after(1),a:and_b(after(500000001),a:multi_a(2,A,B,C)))	51b16b040165cd1db16b2079be667ef9dcbbac55a06295ce870b07029bfcdb2dce28d959f2815b16f81798ac20c6047f9441ed7d6d3045406e95c07cd85c778e4b8cef3ca7abac09b95c709ee5ba20f9308a019258c31049344f85f89d5229b531c845836f99b08601f113bce036f9ba529c6c9a6c9a
and_b(after(1),a:and_b(after(500000001),sc:pk_k(A)))	51b16b040165cd1db17c2079be667ef9dcbbac55a06295ce870b07029bfcdb2dce28d959f2815b16f81798ac9a6c9a
and_b(after(1),a:and_b(andor(sha256(926a54995ca48600920a19bf7bc502ca5f2f7d07e6f804c4f00ebf0325084dbc),after(1),after(1)),a:after(1)))	51b16b82012088a820926a54995ca48600920a19bf7bc502ca5f2f7d07e6f804c4f00ebf0325084dbc876451b16751b1686b51b16c9a6c9a
and_b(after(1),a:and_b(c:pk_h(A),a:after(1)))	51b16b76a914f678d9b79045452c8c64e9309d0f0046056e26c588ac6b51b16c9a6c9a
and_b(after(1),a:and_b(c:pk_h(A),a:after(500000001)))	51b16b76a914f678d9b79045452c8c64e9309d0f0046056e26c588ac6b040165cd1db16c9a6c9a
and_b(after(1),a:and_b(c:pk_h(A),an:after(500000001)))	51b16b76a914f678d9b79045452c8c64e9309d0f0046056e26c588ac6b040165cd1db1926c9a6c9a
and_b(after(1),a:and_b(c:pk_h(A),a:or_d(sha256(c7bcb868ab4db55ca45f8eefe5b1677d9fc2c4111e295baaee1b34ed352c719b),sha256(c7bcb868ab4db55ca45f8eefe5b1677d9fc2c4111e295baaee1b34ed352c719b))))	51b16b76a914f678d9b79045452c8c64e9309d0f0046056e26c588ac6b82012088a820c7bcb868ab4db55ca45f8eefe5b1677d9fc2c4111e295baaee1b34ed352c719b87736482012088a820c7bcb868ab4db55ca45f8eefe5b1677d9fc2c4111e295baaee1b34ed352c719b87686c9a6c9a
and_b(after(1),a:and_b(c:pk_k(A),a:after(500000001)))	51b16b2079be667ef9dcbbac55a06295ce870b07029bfcdb2dce28d959f2815b16f81798ac6b040165cd1db16c9a6c9a
and_b(after(1),a:and_b(j:multi_a(2,A,B,C),a:after(500000001)))	ERR
and_b(after(1),a:and_b(multi_a(2,A,B,C),a:after(1)))	51b16b2079be667ef9dcbbac55a06295ce870b07029bfcdb2dce28d959f2815b16f81798ac20c6047f9441ed7d6d3045406e95c07cd85c778e4b8cef3ca7abac09b95c709ee5ba20f9308a019258c31049344f85f89d5229b531c845836f99b08601f113bce036f9ba529c6b51b16c9a6c9a
and_b(after(1),a:and_b(multi_a(2,A,B,C),a:after(500000001)))	51b16b2079be667ef9dcbbac55a06295ce870b07029bfcdb2dce28d959f2815b16f81798ac20c6047f9441ed7d6d3045406e95c07cd85c778e4b8cef3ca7abac09b95c709ee5ba20f9308a019258c31049344f85f89d5229b531c845836f99b08601f113bce036f9ba529c6b040165cd1db16c9a6c9a
and_b(after(1),a:and_b(multi_a(2,A,B,C),a:andor(sha256(c7bcb868ab4db55ca45f8eefe5b1677d9fc2c4111e295baaee1b34ed352c719b),after(1),after(1))))	51b16b2079be667ef9dcbbac55a06295ce870b07029bfcdb2dce28d959f2815b16f81798ac20c6047f9441ed7d6d3045406e95c07cd85c778e4b8cef3ca7abac09b95c709ee5ba20f9308a019258c31049344f85f89d5229b531c845836f99b08601f113bce036f9ba529c6b82012088a820c7bcb868ab4db55ca45f8eefe5b1677d9fc2c4111e295baaee1b34ed352c719b876451b16751b1686c9a6c9a
and_b(after(1),a:and_b(multi_a(2,A,B,C),a:multi_a(2,D,E,F)))	51b16b2079be667ef9dcbbac55a06295ce870b07029bfcdb2dce28d959f2815b16f81798ac20c6047f9441ed7d6d3045406e95c07cd85c778e4b8cef3ca7abac09b95c709ee5ba20f9308a019258c31049344f85f89d5229b531c845836f99b08601f113bce036f9ba529c6b20e493dbf1c10d80f3581e4904930b1404cc6c13900ee0758474fa94abe8c4cd13ac202f8bde4d1a07209355b4a7250a5c5128e88b84bddc619ab7cba8d569b240efe4ba20fff97bd5755eeea420453a14355235d382f6472f8568a18b2f057a1460297556ba529c6c9a6c9a
